Filename,# of Blast Hits
SRR1024724,11568
SRR1024508,37872
SRR1024969,0
SRR1024823,340
SRR1024626,0
SRR1024990,0
SRR1024503,962
SRR1024447,92000
SRR1024875,0
SRR1024815,0
SRR1030289,15916
SRR1024655,0
SRR1024493,4027234
SRR1024975,31743
SRR1024350,4461
SRR1024678,301769
SRR1024966,0
SRR1024529,338
SRR1024604,593
SRR1024943,195
SRR1024686,143129
SRR1024429,3367
SRR1024954,0
SRR1024922,447314
SRR1024889,21734
SRR1024418,50944
SRR1024833,0
SRR1024384,265
SRR1024693,0
SRR1024985,853
SRR1024749,167425
SRR1024786,0
SRR1024597,308
SRR1024884,2227
SRR1024864,0
SRR1024402,21492
SRR1024556,214
SRR1024521,388
SRR1024619,0
SRR1024697,0
SRR1024615,0
SRR1024481,20354
SRR1024702,3161
SRR1024981,265
SRR1024799,44476
SRR1024756,19286
SRR1024794,199
SRR1024782,0
SRR1024850,0
SRR1024666,211898
SRR1024542,49288
SRR1024360,6013
SRR1024640,0
SRR1024930,2263
SRR1024550,123
SRR1024463,220080
SRR1024895,125
