Filename,# of Non Human Reads
SRR1024724,270497
SRR1024508,247252
SRR1024969,4037693
SRR1024875,13113620
SRR1024626,11778034
SRR1024990,687103
SRR1024503,241027
SRR1024447,391027
SRR1024666,4325285
SRR1024815,19775478
SRR1024655,9801286
SRR1024493,4530155
SRR1024975,3548770
SRR1024702,436139
SRR1024678,510335
SRR1024966,3885446
SRR1024529,880781
SRR1024604,293375
SRR1024943,210670
SRR1024686,600469
SRR1024985,829200
SRR1024954,6843408
SRR1024981,1056711
SRR1024889,793610
SRR1024418,260761
SRR1024833,4304206
SRR1024384,347295
SRR1024350,802224
SRR1024693,5798821
SRR1030289,179805
SRR1024749,229564
SRR1024786,9508080
SRR1024597,501731
SRR1024884,36119
SRR1024864,272851
SRR1024402,82194
SRR1024556,185492
SRR1024521,492279
SRR1024619,13779469
SRR1024697,12172375
SRR1024615,11701747
SRR1024481,1697965
SRR1024922,1023213
SRR1024640,13866446
SRR1024799,314437
SRR1024756,969527
SRR1024794,288401
SRR1024782,360474
SRR1024850,11498268
SRR1024429,517417
SRR1024542,289237
SRR1024360,618170
SRR1024823,251232
SRR1024930,1247253
SRR1024550,401429
SRR1024463,575882
SRR1024895,243250
